,year,suicides,population,suicide100
0,2000,345,17175577,2.0086661426279884
1,2001,393,17361833,2.2635858782883123
2,2002,411,17507998,2.3474985546605613
3,2003,413,17607810,2.345550071246793
4,2004,403,17657631,2.2822993639407234
5,2005,405,17659079,2.293437840104798
6,2006,387,17631557,2.1949281053284175
7,2007,379,17547530,2.159848138171013
8,2008,398,17432076,2.2831474575948385
9,2009,343,17321655,1.9801803003234968
10,2010,368,17237481,2.1348827012485176
11,2011,413,17180849,2.4038392980463303
12,2012,383,17145894,2.23377095414214
13,2013,362,17123318,2.1140762555481363
14,2014,371,17094729,2.1702596162828907
15,2015,397,17047218,2.328825735671357
